time,xi_x,xi_y,xi_z,d_var_theta_x,d_var_theta_y,d_var_theta_z,var_theta_x,var_theta_y,var_theta_z,d_sigma_x,d_sigma_y,d_sigma_z,sigma_x,sigma_y,sigma_z,delta_x,delta_y,delta_z
15.620000000000001,-0.029957359144244577,0.0709368726853889,0.15388978647739462,0.2903931254056019,-0.9981957070322911,0.04149358045807666,-1.0805390229236822,-0.450008962321862,0.33970034980106667,0.0022331740706539142,-0.037264371667592014,0.012070625012000818,0.00932217626607226,0.03518853367025554,0.04642928212364963,0.09198847193976385,-0.204042306350686,-0.37408900448842947
15.63,-0.02705342789018861,0.060954915615066,0.15430472228197536,0.2841466474026981,-0.9788930319282259,0.05609156154651174,-1.0776975564496551,-0.45979789264114423,0.3402612654165318,-0.0008292916055425877,-0.04608646655006171,0.012106426471961196,0.009313883350016833,0.03472766900475492,0.04655034638836924,0.08544214938913369,-0.18353466463144247,-0.37498463849269226
15.64,-0.031829605645327996,0.07495015785123871,0.15216794722144486,0.34027627913275527,-1.0011375144262118,0.07602589723643266,-1.0742947936583276,-0.4698092677854063,0.3410215243888961,0.004103309385164108,-0.030656076160113052,0.009589359597778957,0.009354916443868475,0.03442110824315379,0.04664623998434703,0.09617865809550047,-0.21121475138883877,-0.3711135292454343
15.65,-0.028426842854000434,0.06493878270697662,0.15292820619380917,0.3315625010536384,-0.9770937676695013,0.026879294302237122,-1.0709791686477912,-0.47958020546210134,0.34129031733191845,0.0004938595294830574,-0.039713763582072,0.010048370459805916,0.009359855039163305,0.034023970607333066,0.046746723688945085,0.08859621851868563,-0.1908442666542947,-0.37263027457832193
15.66,-0.02511121784346404,0.055167845030281604,0.15319699913683152,0.3243260433100145,-0.9579025537636097,0.04088170089909998,-1.067735908214691,-0.48915923099973746,0.3416991343409094,-0.002973041641303676,-0.048250779758112865,0.010001473394746496,0.009330124622750268,0.03354146280975194,0.04684673842289255,0.08101284949761113,-0.17052669134734783,-0.3732329881215769
15.67,-0.02186795741036396,0.04558881949264548,0.1536058161458225,0.3170664088950087,-0.9387508692038073,0.0566268414960619,-1.064565244125741,-0.49854673969177554,0.34226540275587003,-0.006342457128030641,-0.056337639016352976,0.010096051285723273,0.009266700051469961,0.03297808641958841,0.046947698935749786,0.07335870866363448,-0.15009411212749646,-0.37409674443756397
15.68,-0.03181208267483271,0.07025210060856724,0.1478829320905659,0.38105619759576614,-0.9929087295161398,0.08489742241162956,-1.0607546821497833,-0.5084758269869369,0.3431143769799863,0.004227527962659183,-0.02991344153699793,0.004055933832301656,0.009308975331096554,0.03267895200421843,0.046988258274072804,0.09609274151597261,-0.2000884261722124,-0.3634931290739801
15.69,-0.02800152069887507,0.06032301331340584,0.1487319063146822,0.36969274431408994,-0.9645853036482513,-0.019754736287496355,-1.0570577547066424,-0.5181216800234194,0.34291682961711134,0.00019298890411754976,-0.038913739248016964,0.004777457984676409,0.009310905220137729,0.03228981461173826,0.047036032853919565,0.08758692127526402,-0.17973852408808788,-0.3651235147913705
15.700000000000001,-0.024304593255734197,0.05067716027692337,0.14853435895180722,0.3615912670753414,-0.9454515267760109,-0.0051532959155455305,-1.053441842035889,-0.5275761952911795,0.3428652966579559,-0.003676989940004323,-0.04735429580728256,0.004429783300434392,0.009274135320737686,0.031816271653665434,0.04708033068692391,0.0790893616877884,-0.15949957661394437,-0.3648014116287949
15.71,-0.03216002368638571,0.06881209593216597,0.14491497032096134,0.4092836422664976,-0.9842355662235196,0.016020104562605608,-1.0493490056132242,-0.5374185509534147,0.3430254977035819,0.0045593191084365575,-0.02774529819427453,0.0006711881596078162,0.009319728511822051,0.03153881867172269,0.04708704256851999,0.09687182428577903,-0.19603923907755777,-0.3580626345945642
